Date,Rate
2022-05-25,126.735
2022-05-26,127.155
2022-05-27,127.095
2022-05-28,127.12
2022-05-29,127.12
2022-05-30,127.275
2022-05-31,127.795
2022-06-01,128.725
2022-06-02,130.125
2022-06-03,129.935
2022-06-04,130.825
2022-06-05,130.825
2022-06-06,130.735
2022-06-07,132.175
2022-06-08,132.825
2022-06-09,134.44
2022-06-10,134.405
2022-06-11,134.425
2022-06-12,134.425
2022-06-13,134.825
2022-06-14,134.235
2022-06-15,135.285
2022-06-16,134.115
2022-06-17,132.435
2022-06-18,134.995
2022-06-19,134.995
2022-06-20,135.285
2022-06-21,135.084
2022-06-22,136.301
2022-06-23,136.015
2022-06-24,134.845
2022-06-25,135.195
2022-06-26,135.195
2022-06-27,135.085
2022-06-28,135.445
2022-06-29,136.035
2022-06-30,136.605
2022-07-01,135.785
2022-07-02,135.205
2022-07-03,135.205
2022-07-04,135.025
2022-07-05,135.855
2022-07-06,135.525
2022-07-07,135.965
2022-07-08,135.915
2022-07-09,136.07
2022-07-10,136.07
2022-07-11,136.295
2022-07-12,137.405
2022-07-13,136.735
2022-07-14,137.635
2022-07-15,138.975
2022-07-16,138.475
2022-07-17,138.475
2022-07-18,138.325
2022-07-19,138.245
2022-07-20,138.195
2022-07-21,138.405
2022-07-22,137.095
2022-07-23,136.09
2022-07-24,136.09
2022-07-25,136.305
2022-07-26,136.415
2022-07-27,136.975
2022-07-28,136.115
2022-07-29,134.415
2022-07-30,133.225
2022-07-31,133.225
2022-08-01,133.365
2022-08-02,131.545
2022-08-03,133.365
2022-08-04,133.915
2022-08-05,132.595
2022-08-06,135.025
2022-08-07,135.025
2022-08-08,135.075
2022-08-09,134.84
2022-08-10,135.175
2022-08-11,132.825
2022-08-12,132.995
2022-08-13,133.505
2022-08-14,133.505
2022-08-15,133.305
2022-08-16,133.155
2022-08-17,134.285
2022-08-18,134.965
2022-08-19,135.805
2022-08-20,136.93
2022-08-21,136.93
2022-08-22,137.035
2022-08-23,137.565
2022-08-24,136.745
2022-08-25,137.075
2022-08-26,136.58
2022-08-27,137.515
2022-08-28,137.515
2022-08-29,138.165
2022-08-30,138.635
2022-08-31,138.765
2022-09-01,139.31
2022-09-02,140.075
2022-09-03,140.215
2022-09-04,140.215
2022-09-05,140.495
2022-09-06,140.43
2022-09-07,143.155
2022-09-08,144.13
2022-09-09,143.885
2022-09-10,142.585
2022-09-11,142.585
2022-09-12,142.59
2022-09-13,142.595
2022-09-14,144.435
2022-09-15,142.915
2022-09-16,143.365
2022-09-17,142.945
2022-09-18,142.945
2022-09-19,142.76
2022-09-20,143.205
2022-09-21,143.615
2022-09-22,144.205
2022-09-23,142.3
2022-09-24,143.345
2022-09-25,143.345
2022-09-26,143.525
2022-09-27,144.475
2022-09-28,144.715
2022-09-29,144.41
2022-09-30,144.445
2022-10-01,144.755
2022-10-02,144.755
2022-10-03,144.805
2022-10-04,144.525
2022-10-05,143.845
2022-10-06,144.445
2022-10-07,145.045
2022-10-08,145.415
2022-10-09,145.415
2022-10-10,145.485
2022-10-11,145.675
2022-10-12,145.885
2022-10-13,146.745
2022-10-14,147.295
2022-10-15,148.765
2022-10-16,148.765
2022-10-17,148.645
2022-10-18,148.975
